(PDH-CSV 4.0) (Eastern Daylight Time)(240),\\NCR-HKL59E0D3TQ\.NET CLR Memory(NCR.APTRA.CnsmrAppReference)\# Bytes in all Heaps,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Handle Count,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Private Bytes,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Thread Count,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Virtual Bytes,"Generate a report detailing the status of local hardware resources, system response times, and processes on the local computer. Use this information to identify possible causes of performance issues. Membership in the local Administrators group, or equivalent, is the minimum required to run this Data Collector Set."
04:30.6,36396188,4573,215633920,210,863690752, 
04:45.6,36396188,4573,215941120,210,863690752, 
05:00.6,36396188,4570,215932928,209,862707712, 
05:15.6,36396188,4562,215601152,208,860872704, 
05:30.6,36396188,4566,215683072,208,861659136, 
05:45.6,35311888,4566,215867392,208,861593600, 
06:00.6,35311888,4567,215891968,209,861855744, 
06:15.6,35311888,4559,215613440,207,860545024, 
06:30.6,35311888,4567,215904256,209,861855744, 
06:45.5,35311888,4567,215908352,209,861855744, 
07:00.5,35311888,4567,215646208,208,861593600, 
07:15.5,35311888,4562,215896064,208,860807168, 
07:30.5,35311888,4564,215924736,209,861855744, 
07:45.6,35311888,4566,215662592,208,861659136, 
08:00.6,35311888,4567,215928832,209,861921280, 
08:15.6,35523968,4561,215834624,207,860545024, 
08:30.6,35523968,4566,215617536,208,861593600, 
08:45.6,35523968,4566,215879680,209,861855744, 
09:00.5,35523968,4567,215867392,208,861593600, 
09:15.5,35523968,4563,215638016,207,860545024, 
09:30.6,35523968,4567,215875584,208,861593600, 
09:45.6,35523968,4566,215887872,208,860807168, 
10:00.5,36507284,4554,215552000,207,859234304, 
10:15.6,36507284,4552,215625728,207,859234304, 
10:30.5,36507284,4557,215904256,209,860545024, 
10:45.5,36507284,4558,215654400,208,860282880, 
11:00.5,36507284,4558,215896064,208,860282880, 
11:15.6,36507284,4548,215556096,207,859234304, 
11:30.5,36507284,4553,215928832,208,860348416, 
11:45.6,36507284,4556,215949312,209,860610560, 
12:00.6,36507284,4555,215625728,208,860348416, 
12:15.6,35499192,4576,215638016,211,864673792, 
12:30.6,35499192,4573,215572480,208,860741632, 
12:45.5,35499192,4581,215302144,210,862838784, 
13:00.5,35499192,4585,215601152,209,862576640, 
13:15.6,35499192,4565,215584768,208,860733440, 
13:30.6,35499192,4588,215322624,210,862838784, 
13:45.5,35499192,4585,215617536,209,862576640, 
14:00.5,35649276,4585,215621632,209,862576640, 
14:15.5,35649276,4583,215621632,209,861790208, 
14:30.5,35649276,4587,215642112,209,862642176, 
14:45.6,35649276,4584,215404544,208,861593600, 
15:00.6,35649276,4582,215625728,208,860807168, 
15:15.6,35649276,4579,215613440,207,860545024, 
15:30.6,35649276,4584,215425024,208,861593600, 
15:45.5,35649276,4584,215642112,208,861593600, 
16:00.6,35649276,4585,215666688,209,861855744, 
16:15.6,35649276,4577,215416832,207,860545024, 
16:30.6,35859232,4584,215339008,208,861593600, 
16:45.6,35859232,4585,215683072,209,861855744, 
17:00.6,35859232,4584,215453696,208,861593600, 
17:15.5,35859232,4579,215339008,207,860610560, 
17:30.6,35859232,4585,215703552,209,861921280, 
17:45.5,35859232,4584,215687168,208,861659136, 
18:00.5,35859232,4584,215420928,208,861659136, 
18:15.5,35859232,4578,215695360,208,860872704, 
18:30.5,35859232,4586,215703552,208,861659136, 
18:45.6,35859232,4583,215433216,208,861659136, 
19:00.6,35859232,4583,215707648,208,861659136, 
19:15.6,35532528,4560,215699456,207,860610560, 
19:30.6,35532528,4567,215470080,209,861921280, 
19:45.6,35532528,4566,215724032,208,861659136, 
20:00.6,35532528,4563,215719936,207,860676096, 
20:15.6,35532528,4561,215744512,208,860938240, 
20:30.6,35532528,4565,215506944,208,861724672, 
20:45.5,35532528,4565,215752704,208,861724672, 
21:00.6,35532528,4566,215781376,209,861986816, 
21:15.6,35532528,4557,215506944,207,860676096, 
21:30.5,35532528,4565,215797760,209,861986816, 
21:45.6,35741348,4565,215670784,209,861855744, 
22:00.6,35741348,4564,215412736,208,861593600, 
22:15.6,35741348,4560,215658496,208,860807168, 
22:30.5,35741348,4560,215691264,209,861855744, 
22:45.6,35741348,4564,215388160,208,861593600, 
23:00.6,35741348,4565,215695360,209,861921280, 
23:15.6,35741348,4559,215666688,207,860610560, 
23:30.6,35741348,4564,215420928,208,861659136, 
23:45.6,35741348,4565,215715840,209,861921280, 
24:00.5,35741348,4540,215506944,202,855367680, 
24:15.6,35953404,4535,215244800,201,854319104, 
24:30.6,35953404,4523,215515136,202,854573056, 
