(PDH-CSV 4.0) (India Standard Time)(-330),\\NCR-3M6OJM5HB98\.NET CLR Memory(StartSupv)\# Bytes in all Heaps,\\NCR-3M6OJM5HB98\Process(StartSupv)\Handle Count,\\NCR-3M6OJM5HB98\Process(StartSupv)\Private Bytes,\\NCR-3M6OJM5HB98\Process(StartSupv)\Thread Count,\\NCR-3M6OJM5HB98\Process(StartSupv)\Virtual Bytes,Byte In All Heaps ( In MB ),Private Bytes ( In MB ),Virual Bytes ( In MB )
08-06-18 20:18,14570372,3397,126468096,138,586637312,13.89538956,120.609375,559.4609375
08-06-18 20:19,14570372,3389,126406656,135,583491584,13.89538956,120.5507813,556.4609375
08-06-18 20:19,14570372,3394,126427136,136,584540160,13.89538956,120.5703125,557.4609375
08-06-18 20:19,14564276,3392,126504960,139,587685888,13.88957596,120.6445313,560.4609375
08-06-18 20:19,14564276,3381,126439424,136,584540160,13.88957596,120.5820313,557.4609375
08-06-18 20:20,14564276,3377,126431232,136,584540160,13.88957596,120.5742188,557.4609375
08-06-18 20:20,14564276,3382,126451712,137,585588736,13.88957596,120.59375,558.4609375
08-06-18 20:20,14564276,3381,126451712,137,585588736,13.88957596,120.59375,558.4609375
08-06-18 20:20,14554560,3392,126513152,140,587948032,13.88031006,120.6523438,560.7109375
08-06-18 20:21,14554428,3388,126476288,138,586637312,13.88018417,120.6171875,559.4609375
08-06-18 20:21,14558772,3397,126476288,138,586637312,13.88432693,120.6171875,559.4609375
08-06-18 20:21,14550932,3401,126500864,140,588734464,13.87685013,120.640625,561.4609375
08-06-18 20:21,14550932,3398,126464000,138,586637312,13.87685013,120.6054688,559.4609375
08-06-18 20:22,14550932,3395,126447616,137,585588736,13.87685013,120.5898438,558.4609375
08-06-18 20:22,14550932,3397,126447616,137,585588736,13.87685013,120.5898438,558.4609375
08-06-18 20:22,14550932,3397,126443520,137,585588736,13.87685013,120.5859375,558.4609375
08-06-18 20:22,14562308,3399,126492672,139,586899456,13.88769913,120.6328125,559.7109375
08-06-18 20:23,14562308,3393,126459904,137,585588736,13.88769913,120.6015625,558.4609375
08-06-18 20:23,14562308,3387,126451712,137,585588736,13.88769913,120.59375,558.4609375
08-06-18 20:23,14562308,3387,126451712,137,585588736,13.88769913,120.59375,558.4609375
08-06-18 20:23,14562308,3388,126443520,137,585588736,13.88769913,120.5859375,558.4609375
08-06-18 20:24,14551684,3391,126459904,138,586637312,13.87756729,120.6015625,559.4609375
08-06-18 20:24,14554240,3398,126488576,139,587685888,13.88000488,120.6289063,560.4609375
08-06-18 20:24,14554240,3399,126492672,139,587685888,13.88000488,120.6328125,560.4609375
08-06-18 20:24,14554240,3395,126447616,137,585588736,13.88000488,120.5898438,558.4609375
08-06-18 20:25,14554240,3387,126423040,136,584540160,13.88000488,120.5664063,557.4609375
08-06-18 20:25,14554240,3390,126427136,136,584540160,13.88000488,120.5703125,557.4609375
08-06-18 20:25,14554240,3391,126443520,137,585588736,13.88000488,120.5859375,558.4609375
08-06-18 20:25,14554240,3391,126443520,137,585588736,13.88000488,120.5859375,558.4609375
08-06-18 20:26,14554240,3388,126406656,135,583491584,13.88000488,120.5507813,556.4609375
08-06-18 20:26,14554240,3390,126406656,135,583491584,13.88000488,120.5507813,556.4609375
08-06-18 20:26,14555788,3383,126414848,135,583491584,13.88148117,120.5585938,556.4609375
08-06-18 20:26,14555788,3399,126488576,138,586637312,13.88148117,120.6289063,559.4609375
08-06-18 20:27,14555788,3391,126418944,135,583491584,13.88148117,120.5625,556.4609375
08-06-18 20:27,14555788,3396,126439424,136,584540160,13.88148117,120.5820313,557.4609375
08-06-18 20:27,14555788,3395,126406656,135,583491584,13.88148117,120.5507813,556.4609375
08-06-18 20:27,14555788,3395,126402560,135,583491584,13.88148117,120.546875,556.4609375
08-06-18 20:28,14564160,3398,126488576,138,586637312,13.88946533,120.6289063,559.4609375
08-06-18 20:28,14564160,3403,126504960,139,587685888,13.88946533,120.6445313,560.4609375
08-06-18 20:28,14564160,3394,126455808,137,585588736,13.88946533,120.5976563,558.4609375
08-06-18 20:28,14564160,3394,126455808,137,585588736,13.88946533,120.5976563,558.4609375
08-06-18 20:29,14564160,3388,126439424,136,584540160,13.88946533,120.5820313,557.4609375
08-06-18 20:29,14552256,3400,126492672,139,586899456,13.87811279,120.6328125,559.7109375
08-06-18 20:29,14552256,3401,126476288,138,586637312,13.87811279,120.6171875,559.4609375
08-06-18 20:29,14556912,3409,126513152,140,588734464,13.8825531,120.6523438,561.4609375
08-06-18 20:30,14556912,3411,126402560,139,587685888,13.8825531,120.546875,560.4609375
