(PDH-CSV 4.0) (India Standard Time)(-330),\\HYD-GOLCONDA\.NET CLR Memory(NCR.APTRA.CnsmrAppActivateEnterprise)\# Bytes in all Heaps,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Handle Count,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Private Bytes,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Thread Count,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Virtual Bytes,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Working Set - Private
03-01-19 13:00,31381824,4576,360091648,197,1251631104,292851712
03-01-19 13:00,20303812,4268,349573120,199,1253466112,283213824
03-01-19 13:00,20519480,4274,349405184,197,1250844672,283119616
03-01-19 13:00,20707700,4306,349691904,199,1253466112,283250688
03-01-19 13:00,20836212,4312,349822976,199,1253466112,283148288
03-01-19 13:00,20836212,4327,349782016,198,1252155392,283398144
03-01-19 13:00,20474776,4339,349868032,200,1254776832,283463680
03-01-19 13:00,20798824,4320,349712384,198,1252155392,283430912
03-01-19 13:00,20515092,4295,349724672,198,1252155392,283414528
03-01-19 13:01,21005672,4298,348958720,199,1253466112,282619904
03-01-19 13:01,21005672,4315,349200384,198,1252155392,282783744
03-01-19 13:01,21667412,4295,349147136,198,1252155392,282337280
03-01-19 13:01,20598844,4290,350490624,197,1250844672,283435008
03-01-19 13:01,22381148,4330,350855168,200,1254776832,283639808
03-01-19 13:01,22514380,4340,351203328,199,1253466112,283844608
03-01-19 13:01,22382412,4381,351911936,208,1265262592,284102656
03-01-19 13:01,22382412,4419,351817728,205,1268736000,284053504
03-01-19 13:01,22382412,4430,351707136,205,1261330432,284037120
03-01-19 13:01,22382412,4433,351838208,200,1254776832,284172288
03-01-19 13:01,23197388,4403,351301632,203,1258708992,283496448
03-01-19 13:01,23433816,4426,351625216,204,1260019712,283742208
03-01-19 13:02,23073260,4431,353218560,204,1260019712,284286976
03-01-19 13:02,23073260,4458,353513472,206,1262641152,284561408
03-01-19 13:02,24358348,4483,353665024,208,1266049024,284594176
03-01-19 13:02,24723364,4432,353751040,209,1266573312,284700672
03-01-19 13:02,24723364,4461,353677312,208,1266049024,284672000
03-01-19 13:02,25279308,4458,353812480,209,1266573312,284737536
03-01-19 13:02,24170448,4426,353288192,205,1262116864,284389376
03-01-19 13:02,24444604,4422,354189312,205,1261363200,285908992
03-01-19 13:02,25648544,4439,355016704,205,1262149632,286482432
03-01-19 13:02,26209732,4424,355278848,204,1260052480,285827072
03-01-19 13:02,26950268,4452,355762176,205,1261363200,286175232
03-01-19 13:02,27307764,4468,356302848,204,1260052480,286568448
