Session, Time, Virtual Bytes, Private Bytes, # Bytes in all Heaps, Handle Count, Thread Count
208,2018-09-24T12:16:27.926,1743208000,775626800,88753440,5487,273
209,2018-09-24T12:17:21.377,1733968000,776478700,88405600,5521,264
210,2018-09-24T12:18:14.649,1743274000,777392100,88808340,5481,273
211,2018-09-24T12:18:58.922,1744212000,774344700,88102050,5490,276
212,2018-09-24T12:19:45.206,1746354000,775815200,88486580,5505,276
213,2018-09-24T12:30:27.425,1720181000,766013400,99860050,5445,254
214,2018-09-24T13:17:10.064,1739219000,786784300,99888510,5501,265
215,2018-09-24T13:18:07.634,1746895000,800673800,100248000,5594,268
216,2018-09-24T13:19:05.371,1752941000,809590800,101832100,5675,266
217,2018-09-24T13:20:02.508,1741439000,803467300,103972000,5590,259
218,2018-09-24T13:21:01.278,1759416000,812789800,99466020,5605,276
219,2018-09-24T13:22:02.692,1740775000,782053400,100106500,5558,270
220,2018-09-24T13:23:01.107,1738482000,777584600,102487000,5557,267
221,2018-09-24T13:24:05.775,1746829000,792223700,103164000,5635,269
222,2018-09-24T13:25:05.716,1729094000,786366500,105689500,5536,256
223,2018-09-24T13:26:02.483,1728995000,782766100,105907900,5548,261
224,2018-09-24T13:27:10.892,1736675000,785698800,107243500,5548,267
225,2018-09-24T13:28:18.281,1740063000,784740400,107548700,5538,268
226,2018-09-24T13:29:23.054,1744683000,793145300,107582100,5607,268
227,2018-09-24T13:30:24.992,1748394000,800337900,107308100,5667,267
228,2018-09-24T13:31:20.791,1753637000,816930800,107295700,5645,266
229,2018-09-24T13:32:28.166,1739530000,788025300,100109000,5549,267
230,2018-09-24T13:33:56.508,1738285000,782839800,101174900,5544,266
231,2018-09-24T13:34:56.245,1744577000,788148200,101192300,5609,269
232,2018-09-24T13:35:54.139,1750688000,802299900,103203300,5705,268
233,2018-09-24T13:36:52.200,1736245000,795349000,104882400,5596,259
234,2018-09-24T13:38:19.719,1729266000,793567200,106362000,5548,256
235,2018-09-24T13:39:17.107,1738117000,790720500,107780200,5544,267
236,2018-09-24T13:40:14.852,1737200000,789803000,107315000,5543,266
237,2018-09-24T13:42:53.511,1724137000,779190300,107390100,5524,256
238,2018-09-24T13:43:49.893,1729225000,791343100,107320600,5532,259
239,2018-09-24T13:44:54.323,1744904000,799653900,107723600,5661,268
240,2018-09-24T13:45:52.246,1746215000,799100900,107400900,5671,270
241,2018-09-24T13:46:48.648,1741722000,801234900,108716000,5570,267
242,2018-09-24T13:47:46.857,1745175000,804044800,108972100,5575,268
243,2018-09-24T13:48:44.620,1750065000,808726500,109009700,5646,268
244,2018-09-24T13:50:21.875,1751671000,819650600,108498800,5701,264
245,2018-09-24T13:51:21.407,1758601000,828342300,108939400,5776,266
246,2018-09-24T13:52:20.077,1763189000,839790600,108734400,5861,268
247,2018-09-24T13:53:20.615,1739194000,805138400,107548100,5561,263
248,2018-09-24T13:54:25.474,1746452000,807813100,107554800,5581,266
249,2018-09-24T13:55:48.263,1750106000,814518300,107839200,5659,265
250,2018-09-24T13:56:50.202,1731101000,800665600,107504300,5629,252
251,2018-09-24T13:57:55.694,1743036000,815493100,107847700,5627,255
252,2018-09-24T13:59:02.531,1753874000,827146200,107860400,5714,265
253,2018-09-24T14:00:05.469,1741701000,800088100,108457700,5537,265
254,2018-09-24T14:02:28.124,1726349000,784371700,108467400,5418,253
255,2018-09-24T14:03:22.846,1726407000,783614000,108358500,5415,258
256,2018-09-24T14:04:21.910,1745371000,796852200,108548600,5576,268
257,2018-09-24T14:05:23.407,1728266000,784080900,108163500,5468,259
258,2018-09-24T14:06:22.253,1742750000,798494700,108360300,5556,265
259,2018-09-24T14:07:31.532,1732329000,793432100,107550100,5527,260
260,2018-09-24T14:08:29.749,1743921000,792088600,107876400,5549,266
261,2018-09-24T14:09:27.518,1727062000,780062700,100137300,5458,254
262,2018-09-24T14:10:28.931,1747337000,797687800,99818980,5560,266
263,2018-09-24T14:11:24.999,1734877000,792105000,101647800,5502,255
264,2018-09-24T14:12:42.160,1739223000,792387600,103047800,5527,263
265,2018-09-24T14:13:39.674,1726964000,773713900,103027700,5459,255
266,2018-09-24T14:14:36.801,1726530000,775528400,99766700,5409,256
267,2018-09-24T14:15:37.308,1729872000,767033300,100136500,5473,258
268,2018-09-24T14:17:02.252,1731838000,780472300,99890590,5451,254
269,2018-09-24T14:18:10.421,1726726000,773648400,100386600,5445,256
270,2018-09-24T14:19:06.009,1727029000,772829200,101729300,5445,254
271,2018-09-24T14:20:04.520,1731969000,777642000,102260600,5478,257
272,2018-09-24T14:21:04.228,1745691000,791015400,102818700,5552,266
273,2018-09-24T14:22:02.255,1732469000,782057500,103519500,5459,256
274,2018-09-24T14:23:23.069,1745043000,792395800,103996400,5540,266
275,2018-09-24T14:24:23.865,1747272000,791244800,103619800,5560,268
276,2018-09-24T14:25:24.950,1739874000,791281700,103091100,5567,261
277,2018-09-24T14:26:21.554,1749803000,800960500,103023100,5577,266
278,2018-09-24T14:27:23.659,1747796000,797941800,103653500,5559,265
279,2018-09-24T14:28:23.376,1733591000,787431400,103819800,5483,258
280,2018-09-24T14:29:21.771,1745568000,791560200,102593400,5569,266
281,2018-09-24T14:30:20.780,1745871000,792092700,102618100,5563,263
282,2018-09-24T14:31:17.222,1746354000,792473600,103444800,5553,265
283,2018-09-24T14:32:18.516,1750065000,794185700,103589200,5577,267
284,2018-09-24T14:33:35.186,1746346000,792014800,103803600,5552,265
285,2018-09-24T14:34:35.120,1727382000,772833300,100162300,5449,254
