(PDH-CSV 4.0) (Eastern Standard Time)(300),\\NCR-R20NI8BA19J\.NET CLR Memory(NCR.APTRA.CnsmrAppReference)\# Bytes in all Heaps,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Handle Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Private Bytes,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Thread Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Virtual Bytes,Sl.No.
09-11-18 52:00,34461208,4147,144584704,214,745123840,158
09-11-18 57:00,34461208,4148,151142400,215,745254912,159
09-11-18 02:00,33713772,4040,151453696,209,738963456,160
09-11-18 07:00,33713772,4043,151388160,206,735817728,161
09-11-18 12:00,33713772,4042,151392256,206,735817728,162
09-11-18 17:00,33713772,4039,151363584,205,734769152,163
09-11-18 22:00,33713772,4038,151322624,203,733458432,164
09-11-18 27:00,33713772,4043,151343104,204,734507008,165
09-11-18 32:00,33713772,4043,150994944,204,734507008,166
09-11-18 37:00,33713772,4044,150958080,204,734507008,167
09-11-18 42:00,33713772,4039,151339008,204,733720576,168
09-11-18 47:00,33713772,4047,151379968,206,735817728,169
09-11-18 52:00,33713772,4049,151363584,205,734769152,170
09-11-18 57:00,33713772,4047,151334912,204,733720576,171
09-11-18 02:00,33713772,4041,151298048,202,732409856,172
09-11-18 07:00,33713772,4046,150990848,203,733458432,173
09-11-18 12:00,33713772,4046,151318528,203,733458432,174
09-11-18 17:00,33713772,4046,150990848,204,734507008,175
09-11-18 22:00,33713772,4041,151224320,203,733458432,176
09-11-18 27:00,33997092,4045,151273472,204,734441472,177
09-11-18 32:00,33997092,4046,151289856,205,734703616,178
09-11-18 37:00,33997092,4046,151289856,205,734703616,179
09-11-18 42:00,33997092,4041,151265280,204,733655040,180
09-11-18 47:00,33997092,4047,151289856,205,734703616,181
09-11-18 52:00,33997092,4048,150945792,204,734441472,182
09-11-18 57:00,33997092,4048,150929408,204,734441472,183
09-11-18 02:00,33997092,4043,150904832,203,733392896,184
09-11-18 07:00,33997092,4048,151183360,204,734441472,185
09-11-18 12:00,33997092,4048,151277568,204,734441472,186
09-11-18 17:00,33997092,4046,151273472,204,733655040,187
09-11-18 22:00,33997092,4040,151232512,202,732344320,188
09-11-18 27:00,33997092,4044,151244800,203,732606464,189
09-11-18 32:00,33997092,4043,151244800,203,733392896,190
09-11-18 37:00,33997092,4043,151027712,203,733458432,191
09-11-18 42:00,33997092,4038,150888448,202,732409856,192
09-11-18 47:00,33997092,4047,150933504,204,733720576,193
09-11-18 52:00,33997092,4048,150888448,203,732672000,194
09-11-18 57:00,34124400,4042,151244800,202,732409856,195
09-11-18 02:00,34124400,4037,151224320,201,731361280,196
09-11-18 07:00,34124400,4042,151252992,202,732409856,197
09-11-18 12:00,34124400,4043,151269376,203,732672000,198
09-11-18 17:00,34124400,4042,151248896,202,732409856,199
09-11-18 22:00,34124400,4037,150999040,201,731361280,200
09-11-18 27:00,34124400,4042,151158784,202,732409856,201
09-11-18 32:00,34124400,4042,150908928,202,732409856,202
09-11-18 37:00,34124400,4041,151257088,202,731623424,203
09-11-18 42:00,34124400,4035,151224320,200,730312704,204
09-11-18 47:00,34124400,4044,151277568,203,732672000,205
09-11-18 52:00,34124400,4045,151265280,202,732409856,206
09-11-18 57:00,34124400,4045,151261184,202,732409856,207
09-11-18 02:00,34124400,4040,151240704,201,731361280,208
09-11-18 07:00,34124400,4045,151261184,202,732409856,209
09-11-18 12:00,34124400,4045,151171072,202,732409856,210
09-11-18 17:00,34124400,4045,150921216,202,732409856,211
09-11-18 22:00,34124400,4041,151265280,202,731623424,212
09-11-18 27:00,34124400,4045,151269376,202,732409856,213
09-11-18 32:00,34124400,4046,151273472,202,732409856,214
09-11-18 37:00,34124400,4045,151273472,202,732409856,215
09-11-18 42:00,34124400,4040,151257088,201,731361280,216
09-11-18 47:00,34444648,4045,142532608,198,726765568,217
09-11-18 52:00,34725076,4180,142802944,207,736989184,218
09-11-18 57:00,34725076,4219,152788992,215,747483136,219
09-11-18 02:00,34537072,4086,153862144,214,747089920,220
09-11-18 07:00,34537072,4086,153804800,211,743944192,221
09-11-18 12:00,34537072,4084,153686016,205,737652736,222
09-11-18 17:00,34537072,4089,153706496,206,738701312,223
09-11-18 22:00,34537072,4069,153681920,205,736858112,224
09-11-18 27:00,34537072,4087,153686016,205,737652736,225
09-11-18 32:00,34537072,4069,153563136,204,735809536,226
09-11-18 37:00,34537072,4091,153587712,205,737652736,227
09-11-18 42:00,34537072,4092,153698304,206,737914880,228
